,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
261,belmonte,-15.8631,-38.8828,23.03,93,100,4.11,BR,1668803134
262,esperance,-33.8667,121.9,11.54,69,92,9.22,AU,1668803422
263,los llanos de aridane,28.6585,-17.9182,18.96,87,75,8.75,ES,1668803171
264,saint simons,31.1352,-81.3901,17.79,29,0,3.09,US,1668803423
265,shakiso,5.75,38.9167,13.25,91,3,1.58,ET,1668803423
266,saquarema,-22.92,-42.5103,24.08,69,1,2.78,BR,1668803424
267,waddan,29.1614,16.139,20.07,25,0,2.86,LY,1668803424
268,la libertad,-2.2333,-80.9,23.81,83,20,5.14,EC,1668803425
269,vao,-22.6667,167.4833,22.61,69,100,5.1,NC,1668803425
270,urumqi,43.801,87.6005,-3.47,86,75,1.0,CN,1668803426
271,oum hadjer,13.2954,19.6966,25.95,22,6,3.95,TD,1668803426
272,sorong,-0.8833,131.25,26.86,84,100,4.41,ID,1668803427
273,bull savanna,17.8868,-77.5902,26.66,75,90,5.5,JM,1668803427
274,anshun,26.25,105.9333,11.1,75,100,4.83,CN,1668803428
275,taoudenni,22.6783,-3.9836,24.55,13,91,1.64,ML,1668803428
276,codrington,-38.2667,141.9667,15.52,72,100,4.65,AU,1668803429
277,wanning,18.8003,110.3967,24.84,85,100,3.31,CN,1668803430
278,gawler,-34.6,138.7333,17.76,89,66,3.86,AU,1668803430
279,praia,14.9215,-23.5087,27.3,54,0,8.75,CV,1668803431
280,jacareacanga,-6.2222,-57.7528,27.07,73,100,1.01,BR,1668803432
281,kibaya,-5.3,36.5667,16.79,84,100,2.21,TZ,1668803432
282,natchez,31.5604,-91.4032,14.58,31,0,5.66,US,1668803433
283,vestmannaeyjar,63.4427,-20.2734,7.45,70,94,11.57,IS,1668803434
284,sao jose da coroa grande,-8.8978,-35.1478,25.58,77,12,5.15,BR,1668803435
285,abu dhabi,24.4667,54.3667,27.01,72,0,1.03,AE,1668803174
286,saint anthony,45.0205,-93.218,-6.53,69,20,7.72,US,1668803435
287,goroka,-6.0834,145.3873,17.32,96,98,0.97,PG,1668803436
288,aljezur,37.3191,-8.8033,14.67,70,67,6.71,PT,1668803187
289,leh,34.1667,77.5833,-6.87,55,98,0.15,IN,1668803437
290,skowhegan,44.7651,-69.7192,3.48,92,77,1.13,US,1668803437
291,snyder,32.7179,-100.9176,2.83,64,75,6.17,US,1668803438
292,high level,58.5169,-117.136,-6.94,68,20,1.54,CA,1668803406
293,albina,5.5,-54.05,26.81,75,60,2.52,SR,1668803439
294,lata,40.1629,-8.3327,10.04,86,45,1.64,PT,1668803439
